date,Bắc Giang,Bắc Ninh,Bình Dương,Hồ Chí Minh city,Đồng Tháp,Hà Nội,Đồng Nai,Long An,Tiền Giang,Phú Yên,Đà Nẵng,Hưng Yên,Vĩnh Long,Khánh Hòa,Quảng Ngãi,Nghệ An,Hà Tĩnh,Lạng Sơn,Vĩnh Phúc,Điện Biên,Hà Nam,Yên Bái,Quảng Nam,Hải Dương,Thái Bình,Thanh Hóa,Nam Định,Phú Thọ,Quảng Ninh,Hải Phòng,Thừa Thiên - Huế,Đắk Lắk,Hòa Bình,Quảng Trị,Tuyên Quang,Sơn La,Ninh Bình,Thái Nguyên,Bạc Liêu,Gia Lai,Tây Ninh,Trà Vinh,Bắc Kạn,Lào Cai,An Giang,Kiên Giang,Bình Thuận,Cần Thơ,Bà Rịa - Vũng Tàu,Bình Định,Bình Phước,Lâm Đồng,Ninh Thuận,Bến Tre,Sóc Trăng,Cà Mau,Hậu Giang,Đăk Nông,Kon Tum,Hà Giang,Quảng Bình,Lai Châu
2021-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-02,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,6,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-03,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,14,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-04,0,0,0,1,0,4,0,0,0,0,2,2,0,0,0,0,0,0,14,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-05,0,0,0,1,0,19,1,0,0,0,2,2,0,0,0,0,0,0,14,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,0,12,0,1,0,47,1,0,0,0,5,4,0,0,1,0,0,1,25,0,14,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-07,0,12,0,1,0,71,1,0,0,0,10,8,0,0,1,1,0,1,26,1,15,1,1,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-08,1,43,0,1,0,94,1,0,0,0,18,11,0,0,1,1,0,1,33,1,15,1,2,4,6,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-09,32,58,0,1,0,111,1,0,0,0,35,13,0,0,1,1,0,3,33,1,16,1,3,4,6,1,2,1,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-10,47,85,0,1,0,143,1,0,0,0,53,19,0,0,1,1,0,4,53,2,16,1,3,5,6,1,2,1,1,1,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-11,64,119,0,1,0,148,1,0,0,0,53,19,0,0,1,1,0,5,60,2,16,1,3,7,8,1,2,1,1,1,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-12,81,124,0,1,0,162,1,0,0,0,80,20,0,0,1,1,0,6,73,2,17,1,3,7,9,1,3,2,1,1,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-13,91,131,0,1,0,170,1,0,0,0,112,24,0,0,1,1,0,6,78,2,18,1,3,7,13,1,3,2,1,1,5,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-14,107,177,0,1,0,197,1,0,0,0,115,25,0,0,1,1,0,12,78,3,18,1,3,7,15,1,5,2,1,1,5,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-15,216,194,0,1,0,213,1,0,0,0,123,26,0,0,1,1,0,16,83,5,19,1,3,7,15,1,6,2,1,1,5,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-16,314,241,0,1,0,221,1,0,0,0,135,27,0,0,1,1,0,16,83,17,25,1,3,9,15,1,6,2,1,1,5,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
